sim,split,outcome,estimator,delta_r2,noise_sd
55,55,complete,ridge,-0.0118000352255317,5.839864623879145
55,55,complete,random_forest,0.0084495689419409,5.839864623879145
55,55,complete,hist_gb,0.0602061777195432,5.839864623879145
55,55,incomplete,ridge,-0.010159284429125,5.839864623879145
55,55,incomplete,random_forest,0.0205455804683277,5.839864623879145
55,55,incomplete,hist_gb,0.0614295717561996,5.839864623879145
56,56,complete,ridge,-0.0178472363390859,5.839864623879145
56,56,complete,random_forest,0.014738820730603,5.839864623879145
56,56,complete,hist_gb,-0.0043843105844558,5.839864623879145
56,56,incomplete,ridge,-0.0056701473856568,5.839864623879145
56,56,incomplete,random_forest,0.0290493149855809,5.839864623879145
56,56,incomplete,hist_gb,0.0123548369765982,5.839864623879145
57,57,complete,ridge,0.0010271180036905,5.839864623879145
57,57,complete,random_forest,0.015415516530449,5.839864623879145
57,57,complete,hist_gb,0.0252043739758055,5.839864623879145
57,57,incomplete,ridge,0.0141753307262245,5.839864623879145
57,57,incomplete,random_forest,0.035396451370654,5.839864623879145
57,57,incomplete,hist_gb,0.0301213289381983,5.839864623879145
58,58,complete,ridge,-0.0127418653906534,5.839864623879145
58,58,complete,random_forest,-0.0202850917576766,5.839864623879145
58,58,complete,hist_gb,-0.0386756508912402,5.839864623879145
58,58,incomplete,ridge,-0.0048433927556872,5.839864623879145
58,58,incomplete,random_forest,0.0003931139786818,5.839864623879145
58,58,incomplete,hist_gb,-0.0175216584509644,5.839864623879145
59,59,complete,ridge,0.0088978999578654,5.839864623879145
59,59,complete,random_forest,0.0371249538254926,5.839864623879145
59,59,complete,hist_gb,-0.0190226998951903,5.839864623879145
59,59,incomplete,ridge,0.0336770722822813,5.839864623879145
59,59,incomplete,random_forest,0.0715587589749847,5.839864623879145
59,59,incomplete,hist_gb,0.019241706514202,5.839864623879145
60,60,complete,ridge,0.0010004008573796,5.839864623879145
60,60,complete,random_forest,0.0530451856204772,5.839864623879145
60,60,complete,hist_gb,0.0263662170806873,5.839864623879145
60,60,incomplete,ridge,0.0123267308934955,5.839864623879145
60,60,incomplete,random_forest,0.0911686504121461,5.839864623879145
60,60,incomplete,hist_gb,0.0294360617503779,5.839864623879145
61,61,complete,ridge,0.0110250199150381,5.839864623879145
61,61,complete,random_forest,0.0063505217860275,5.839864623879145
61,61,complete,hist_gb,-0.0377348762987269,5.839864623879145
61,61,incomplete,ridge,0.0357105131646262,5.839864623879145
61,61,incomplete,random_forest,0.0402666406049592,5.839864623879145
61,61,incomplete,hist_gb,-0.0011950077590454,5.839864623879145
62,62,complete,ridge,0.0026315501104126,5.839864623879145
62,62,complete,random_forest,0.007645475609855,5.839864623879145
62,62,complete,hist_gb,-0.0146957001578916,5.839864623879145
62,62,incomplete,ridge,0.0180092440293229,5.839864623879145
62,62,incomplete,random_forest,0.0687609976352667,5.839864623879145
62,62,incomplete,hist_gb,0.0574169730688112,5.839864623879145
63,63,complete,ridge,-0.0053970951328284,5.839864623879145
63,63,complete,random_forest,0.0006985215848434,5.839864623879145
63,63,complete,hist_gb,0.0021227981384017,5.839864623879145
63,63,incomplete,ridge,0.0070955136400735,5.839864623879145
63,63,incomplete,random_forest,0.0197372398641785,5.839864623879145
63,63,incomplete,hist_gb,0.0207235663593606,5.839864623879145
64,64,complete,ridge,-0.0299338150128777,5.839864623879145
64,64,complete,random_forest,0.0255319335782617,5.839864623879145
64,64,complete,hist_gb,0.0218261531604269,5.839864623879145
64,64,incomplete,ridge,-0.0099095655582323,5.839864623879145
64,64,incomplete,random_forest,0.0543734951927756,5.839864623879145
64,64,incomplete,hist_gb,0.0493358952623322,5.839864623879145
65,65,complete,ridge,0.0021918008457624,5.839864623879145
65,65,complete,random_forest,0.013471025282563,5.839864623879145
65,65,complete,hist_gb,-0.0156800420819963,5.839864623879145
65,65,incomplete,ridge,0.0155931501946451,5.839864623879145
65,65,incomplete,random_forest,0.0360544190329011,5.839864623879145
65,65,incomplete,hist_gb,0.0189142273956353,5.839864623879145
66,66,complete,ridge,-0.0056377612519795,5.839864623879145
66,66,complete,random_forest,-0.0125398222000495,5.839864623879145
66,66,complete,hist_gb,-0.0538814183940129,5.839864623879145
